read_name,ont_barcode,index_barcode
2a351cf5-001e-45c2-8e0f-61690275e587 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14347 ch=97 start_time=2022-06-03T14:44:03Z barcode=bw_000,BC33,000
3f31af47-af26-48a9-b836-1a29c40af8b8 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=16597 ch=66 start_time=2022-06-03T14:46:39Z barcode=bw_000,BC33,000
cec030e9-de79-421b-9f73-861d3bafb40f runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14025 ch=21 start_time=2022-06-03T14:45:55Z barcode=bw_000,BC33,000
a8c75933-f403-4469-aa09-7a265ebb6716 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14470 ch=113 start_time=2022-06-03T14:44:01Z barcode=bw_000,BC33,000
e34dbd03-b9ba-4e7a-ac1e-5245460821ad runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=16462 ch=21 start_time=2022-06-03T15:13:29Z barcode=bw_000,BC33,000
905d4d4f-cdd9-4bb0-af8e-67f8ee920f32 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=18864 ch=36 start_time=2022-06-03T15:11:31Z barcode=bw_000,BC33,000
d51741f9-701f-4496-8f61-71939b8e7973 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=19073 ch=66 start_time=2022-06-03T15:10:41Z barcode=bw_000,BC33,000
1840a13c-a08a-4906-8101-9616aa392179 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6642 ch=97 start_time=2022-06-03T13:19:15Z barcode=bw_000,BC33,000
5707beef-bdfa-41de-8360-fe628ab045a4 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=7370 ch=106 start_time=2022-06-03T13:18:24Z barcode=bw_000,BC33,000
d800602b-d3c0-4fed-bd0a-c4d168b1d18b runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=12876 ch=83 start_time=2022-06-03T14:18:48Z barcode=bw_000,BC33,000
1657f616-43a1-4609-9bad-1bbae3d18f2f runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=11026 ch=18 start_time=2022-06-03T14:19:49Z barcode=bw_000,BC33,000
ed2f7855-ce76-47e8-80f9-e4896894341e runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14950 ch=92 start_time=2022-06-03T14:19:11Z barcode=bw_000,BC33,000
