Sample,CT
1,11.557
1,11.811
1,11.928
2,15.864
2,15.84
2,15.729
3,20.656
3,20.927
3,19.699
1,11.785
1,12.102
1,11.939
2,16.033
2,15.853
2,15.843
3,20.575
3,20.654
3,20.381
1,11.613
1,11.826
1,11.994
2,15.906
2,16.046
2,15.726
3,20.507
3,20.622
3,20.357
4,24.9
4,24.881
4,24.812
4,24.528
4,24.6
4,24.498
4,24.75
4,24.768
4,24.64
5,29.656
5,29.232
5,29.643
6,33.057
6,33.265
6,33.628
7,37.672
7,37.08
7,36.604
5,29.493
5,29.096
5,29.392
6,33.246
6,33.686
6,33.7
7,36.901
7,36.837
7,37.761
5,29.582
5,29.219
5,29.666
6,33.365
6,33.594
6,33.552
7,36.826
7,36.458
7,36.755
